InitiativeID,Impacted BU,Wave,OverAll Impact
SO.3.121,الادارة العامة للحوكمة والمخاطر والإلتزام,الحزمة الثالثة,10.000%
SO.3.121,ادارة السياسات,الحزمة الثالثة,10.000%
SO.3.122,مكتب الوزير,الحزمة الصفرية,24.000%
SO.3.122,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الصفرية,70.000%
SO.3.122,ادارة المشاريع - القطاع الصحي,الحزمة الصفرية,70.000%
SO.3.122,تقنية المعلومات في القطاع الصحي,الحزمة الصفرية,12.000%
SO.3.122,الموارد البشرية في القطاع الصحي,الحزمة الصفرية,16.000%
SO.3.122,الموارد البشرية,الحزمة الصفرية,16.000%
SO.3.122,الموارد البشرية,الحزمة الصفرية,16.000%
SO.3.122,الإدارة العامة لتقنية وأمن المعلومات,الحزمة الصفرية,12.000%
SO.3.123,مكتب ادارة المشاريع المؤسسي,الحزمة الأولى,67.000%
SO.3.123,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الأولى,72.000%
SO.3.123,ادارة المشاريع - القطاع الصحي,الحزمة الأولى,72.000%
SO.3.123,وكالة الشؤون الفنية,الحزمة الأولى,15.000%
SO.3.123,مكتب COO,الحزمة الأولى,15.000%
SO.3.124,ادارة الامن السيبراني,الحزمة الأولى,52.000%
SO.3.124,الامن السيبراني - سلاح الاشارة,الحزمة الأولى,34.000%
SO.3.124,الامن السيبراني - القطاع الصحي,الحزمة الأولى,34.000%
SO.3.124,الامن السيبراني - الخدمات الرقمية والتقنية,الحزمة الأولى,34.000%
SO.3.125,ديوان المحاكمات العسكرية,الحزمة الأولى,80.000%
SO.3.125,الاستئناف العسكري,الحزمة الأولى,80.000%
SO.3.125,قيادة الافواج,الحزمة الأولى,16.000%
SO.3.125,قيادة الشرطة العسكرية,الحزمة الأولى,16.000%
SO.3.125,الإدارة العامة لشؤون الضباط,الحزمة الأولى,16.000%
SO.3.125,هيئة شؤون الافراد,الحزمة الأولى,16.000%
SO.3.125,الامن الوقائي,الحزمة الأولى,16.000%
SO.3.125,الادارة العامة للمتابعة والتفتيش,الحزمة الأولى,16.000%
SO.3.125,ادارة السياسات,الحزمة الأولى,14.000%
SO.3.125,الشؤون القانونية,الحزمة الأولى,14.000%
SO.3.125,مكتب الوزير,الحزمة الأولى,16.000%
SO.3.125,وكالة الشؤون الفنية,الحزمة الأولى,14.000%
SO.3.132,الشؤون الهندسية والمرافق,الحزمة الثانية,17.000%
SO.3.132,مكتب ادارة المشاريع المؤسسي,الحزمة الثانية,5.000%
SO.3.132,تطوير القوات والقدرات,الحزمة الثانية,12.000%
SO.3.132,مكتب وكيل الوزارة,الحزمة الثانية,3.000%
SO.3.133,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الأولى,29.000%
SO.3.133,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,الحزمة الأولى,29.000%
SO.3.133,مكتب وكيل الشؤون الفنية,الحزمة الأولى,14.000%
SO.3.133,الاصول والممتلكات - الشؤون الهندسية والمرافق,الحزمة الأولى,14.000%
SO.3.133,شؤون المشاريع للبنى التحتية - الشؤون الهندسية والمرافق,الحزمة الأولى,14.000%
SO.3.133,الخدمات الرقمية والتقنية,الحزمة الأولى,9.000%
SO.3.133.1, الإدارة العامة للميزانية,الحزمة الصفرية,14.000%
SO.3.133.1,الإدارة العامة للدراسات والتصاميم - الشؤون الفنية,الحزمة الصفرية,34.000%
SO.3.133.1,ادارة المشاريع - وكالة الشؤون الفنية,الحزمة الصفرية,34.000%
SO.3.133.1,مكتب وكيل الوزارة,الحزمة الصفرية,14.000%
SO.3.133.1,الإدارة العامة للمناقصات والعقود,الحزمة الصفرية,14.000%
SO.3.133.1,مكتب رئيس الجهاز العسكري,الحزمة الصفرية,14.000%
SO.3.134,كلية الملك خالد العسكرية,الحزمة الثانية,15.000%
SO.3.135,كلية الملك عبدالله للقيادة والاركان,الحزمة الثانية,15.000%
SO.3.136,مدارس الحرس الوطني العسكرية,الحزمة الأولى,74.000%
SO.3.136,قيادة التدريب والعقيدة,الحزمة الأولى,56.000%
SO.3.136,هيئة التعليم والتدريب,الحزمة الأولى,28.000%
SO.3.136,هيئة العمليات,الحزمة الأولى,18.000%
SO.3.136,مكتب رئيس الجهاز العسكري,الحزمة الأولى,8.000%
SO.3.137,ادارة التنظيم والتسليح - هيئة العمليات,الحزمة الأولى,44.000%
SO.3.137,رئاسة هيئة العمليات,الحزمة الأولى,34.000%
SO.3.138,الإدارة العامة لشؤون الضباط,الحزمة الثانية,54.000%
SO.3.138,هيئة شؤون الافراد,الحزمة الثانية,54.000%
SO.3.138,مكتب رئيس الجهاز العسكري,الحزمة الثانية,10.000%
SO.3.140,الحوكمة والمخاطر والامتثال - الامن السيبراني ,الحزمة الأولى,34.000%
SO.3.140,الامن السيبراني - سلاح الاشارة,الحزمة الأولى,38.000%
SO.3.140,الامن السيبراني - القطاع الصحي,الحزمة الأولى,38.000%
SO.3.140,الامن السيبراني - الخدمات الرقمية والتقنية,الحزمة الأولى,38.000%
SO.3.140,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,28.000%
SO.3.140,تخطيط الأمن السيبراني وإدارة الأداء,الحزمة الأولى,38.000%
SO.3.143,تقنية المعلومات في القطاع الصحي,الحزمة الثانية,29.000%
SO.3.143,جميع المستشفيات,الحزمة الثانية,40.000%
SO.3.143,الادارة المسؤولة عن ادارة ومراقبة المخزون - القطاع الصحي,الحزمة الثانية,46.000%
SO.3.144,المشتريات والتسليح,الحزمة الأولى,90.000%
SO.3.144,مكتب وكيل الوزارة,الحزمة الأولى,59.000%
SO.3.144,ادارة السياسات,الحزمة الأولى,14.000%
SO.3.144,خدمات الدعم المؤسسي,الحزمة الأولى,14.000%
SO.3.144,هيئة العمليات,الحزمة الأولى,39.000%
SO.3.144,الخدمات الرقمية والتقنية,الحزمة الأولى,24.000%
SO.3.144,مكتب نائب رئيس الجهاز العسكري,الحزمة الأولى,10.000%
SO.3.144,وكالة شؤون المشاريع,الحزمة الأولى,14.000%
so.3.153,ادارة التطبيقات,الحزمة الصفرية,54.000%
so.3.153,مركز الاتصال والإعلام,الحزمة الصفرية,58.000%
so.3.153,ادارة التواصل المؤسسي - القطاع الصحي,الحزمة الصفرية,58.000%
so.3.153,كلية الشؤون الصحية في جامعة الملك سعود,الحزمة الصفرية,13.000%
so.3.153,مركز ابحاث KAIMRC,الحزمة الصفرية,13.000%
so.3.153,موسوعة الملك عبدالله العربية للمحتوى الصحي,الحزمة الصفرية,13.000%
so.3.153,مركز الملك عبدالعزيز لامراض وجراحة القلب,الحزمة الصفرية,13.000%
so.3.153,مساعد قائد الكلية للشؤون الإدارية,الحزمة الصفرية,13.000%
SO.3.154,بحاجة لفهم اكثر للمحفظة يجب مراجعة خطة الانتقال للمحفظة والعودة لتحليل المبادرات التابعة لها,الحزمة الثانية,0.000%
SO.3.155,الموارد البشرية,الحزمة الثانية,13.000%
SO.3.155,الإدارة العامة للمراجعة الداخلية,الحزمة الثانية,43.000%
SO.3.155,ادارة السياسات,الحزمة الثانية,12.000%
SO.3.155,الإدارة المالية,الحزمة الثانية,8.000%
SO.3.155,إدارة البلاغات,الحزمة الثانية,87.000%
SO.3.155,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الثانية,45.000%
SO.3.155,مكتب الوزير,الحزمة الثانية,12.000%
so.3.157,مركز الاتصال والإعلام,الحزمة الصفرية,34.000%
SO.3.16,الشؤون القانونية,الحزمة الثانية,20.000%
SO.3.16,مكتب رئيس الجهاز العسكري,الحزمة الثانية,2.000%
SO.3.16,مكتب نائب رئيس الجهاز العسكري,الحزمة الثانية,2.000%
SO.3.16,هيئة العمليات,الحزمة الثانية,8.000%
SO.3.16,ادارة السياسات,الحزمة الثانية,2.000%
SO.3.160,مكتب رئيس الجهاز العسكري,الحزمة الثانية,8.000%
SO.3.160,الشؤون الهندسية والمرافق,الحزمة الثانية,10.000%
SO.3.160,قيادة الافواج,الحزمة الثانية,3.000%
SO.3.160,تطوير القوات والقدرات,الحزمة الثانية,4.000%
SO.3.17,الشؤون القانونية,الحزمة الثانية,30.000%
SO.3.17,وكالة شؤون المشاريع,الحزمة الثانية,8.000%
so.3.18,إدارة مراقبة المخزون,الحزمة الصفرية,65.000%
so.3.18,الدعم التقني,الحزمة الصفرية,75.000%
so.3.18,إدارة الخطط والعمليات,الحزمة الصفرية,75.000%
so.3.18,الإدارة العامة للأسلحة والذخيرة,الحزمة الصفرية,75.000%
so.3.18,قاعدة الإمداد والتموين في القطاع الغربي,الحزمة الصفرية,55.000%
so.3.18,قاعدة الإمداد والتموين بالقطاع الشرقي,الحزمة الصفرية,55.000%
so.3.18,قاعدة الامداد والتموين في الرياض,الحزمة الصفرية,55.000%
so.3.18,إدارة التموين والنقل,الحزمة الصفرية,65.000%
so.3.18,ادارة التنظيم والتسليح - هيئة العمليات,الحزمة الصفرية,38.000%
so.3.18,سلاح الاشارة,الحزمة الصفرية,38.000%
SO.3.19,التخطيط الاستراتيجي,الحزمة الأولى,55.000%
SO.3.19,الموارد البشرية,الحزمة الأولى,55.000%
SO.3.19,الإدارة المالية,الحزمة الأولى,55.000%
SO.3.19,الشؤون الهندسية والمرافق,الحزمة الأولى,55.000%
SO.3.19,خدمات الدعم المؤسسي,الحزمة الأولى,30.000%
SO.3.2,ادارة التدريب - الطب العسكري الميداني,الحزمة الأولى,42.000%
SO.3.2,مدرسة العلوم الصحية العسكرية,الحزمة الأولى,52.000%
SO.3.2,هيئة التعليم والتدريب,الحزمة الأولى,19.000%
SO.3.2,قيادة الطب العسكري الميداني,الحزمة الأولى,32.000%
so.3.20,الموارد البشرية,الحزمة الصفرية,45.000%
so.3.20,الشؤون القانونية,الحزمة الصفرية,25.000%
so.3.20,الإدارة المالية,الحزمة الصفرية,35.000%
so.3.20,مكتب وكيل الوزارة,الحزمة الصفرية,20.000%
SO.3.21,الإدارة العامة للأداء,الحزمة الثانية,44.000%
SO.3.21,الموارد البشرية,الحزمة الثانية,38.000%
SO.3.21,مكتب وكيل الوزارة,الحزمة الثانية,14.000%
SO.3.21,الخدمات الرقمية والتقنية,الحزمة الثانية,26.000%
SO.3.22,الإدارة المالية,الحزمة الثانية,18.000%
SO.3.22,مكتب وكيل الوزارة,الحزمة الثانية,2.000%
SO.3.24,الإدارة العامة للخدمات المشتركة,الحزمة الثانية,40.000%
SO.3.24,ادارة السياسات,الحزمة الثانية,2.000%
SO.3.24,الموارد البشرية,الحزمة الثانية,22.000%
SO.3.24,الإدارة المالية,الحزمة الثانية,22.000%
SO.3.25,الشؤون الهندسية والمرافق,الحزمة الأولى,56.000%
SO.3.25,الموارد البشرية,الحزمة الأولى,19.000%
SO.3.25,مكتب وكيل الوزارة,الحزمة الأولى,9.000%
SO.3.25,مكتب ادارة المشاريع المؤسسي,الحزمة الأولى,9.000%
SO.3.3,قيادة الطب العسكري الميداني,الحزمة الثانية,26.000%
SO.3.3,تقنية المعلومات في القطاع الصحي,الحزمة الثانية,30.000%
SO.3.3,ادارة التدريب - الطب العسكري الميداني,الحزمة الثانية,34.000%
SO.3.3,ادارة شؤون العسكريين - القطاع الصحي,الحزمة الثانية,30.000%
SO.3.3,هيئة الاتصالات,الحزمة الثانية,30.000%
SO.3.30,ادارة البيانات,الحزمة الثالثة,20.000%
SO.3.30,ادارة الامن السيبراني,الحزمة الثالثة,6.000%
SO.3.30,الموارد البشرية,الحزمة الثالثة,8.000%
SO.3.31,ادارة البيانات,الحزمة الثانية,26.000%
SO.3.31,الخدمات الرقمية والتقنية,الحزمة الثانية,18.000%
SO.3.32,ادارة السياسات,الحزمة الثالثة,4.000%
SO.3.32,مكتب الوزير,الحزمة الثالثة,6.000%
SO.3.32,هيئة الاستخبارات ,الحزمة الثالثة,15.000%
SO.3.32,التحليل الاستراتيجي,الحزمة الثالثة,24.000%
SO.3.32,مكتب رئيس الجهاز العسكري,الحزمة الثالثة,2.000%
SO.3.33,ادارة السياسات,الحزمة الثانية,32.000%
SO.3.33,الخدمات الرقمية والتقنية,الحزمة الثانية,18.000%
SO.3.33,مكتب الوزير,الحزمة الثانية,2.000%
SO.3.34,الإدارة المالية,الحزمة الأولى,56.000%
SO.3.34,"الادارات المالية في المناطق - الوسطى , الشرقية , الغربية",الحزمة الأولى,56.000%
SO.3.34,مكتب ادارة المشاريع المؤسسي,الحزمة الأولى,25.000%
SO.3.34,ادارة السياسات,الحزمة الأولى,14.000%
SO.3.35,الإدارة المالية,الحزمة الثانية,20.000%
SO.3.35,مكتب وكيل الوزارة,الحزمة الثانية,2.000%
SO.3.36,الإدارة العامة للخدمات المشتركة,الحزمة الثانية,16.000%
SO.3.37,الشؤون الاستراتيجية والسياسات ,الحزمة الثالثة,24.000%
SO.3.37,الموارد البشرية,الحزمة الثالثة,6.000%
SO.3.39,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,80.000%
SO.3.39,الموارد البشرية,الحزمة الأولى,8.000%
SO.3.39,الإدارة المالية,الحزمة الأولى,8.000%
SO.3.39,سلاح الاشارة,الحزمة الأولى,26.000%
SO.3.39,ادارة السياسات,الحزمة الأولى,14.000%
SO.3.39,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,26.000%
SO.3.39,الخدمات الرقمية والتقنية,الحزمة الأولى,80.000%
SO.3.39,مكتب وكيل الوزارة,الحزمة الأولى,8.000%
SO.3.4,قيادة الطب العسكري الميداني,الحزمة الأولى,4.000%
SO.3.4,هيئة الامداد والتموين,الحزمة الأولى,4.000%
SO.3.4,وكالة الشؤون الفنية,الحزمة الأولى,14.000%
SO.3.4,قيادة الطب العسكري الميداني,الحزمة الأولى,8.000%
SO.3.40,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,38.000%
SO.3.40,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,26.000%
SO.3.40,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,الحزمة الأولى,26.000%
SO.3.40,سلاح الاشارة,الحزمة الأولى,24.000%
SO.3.40,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,24.000%
SO.3.41,الابتكار الرقمي - الخدمات الرقمية والتقنية,الحزمة الأولى,52.000%
SO.3.42,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,34.000%
SO.3.42,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,30.000%
SO.3.42,سلاح الاشارة,الحزمة الأولى,30.000%
SO.3.42,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,34.000%
SO.3.43,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,40.000%
SO.3.43,المشتريات العامة,الحزمة الأولى,28.000%
SO.3.43,سلاح الاشارة,الحزمة الأولى,28.000%
SO.3.43,ادارة الامن السيبراني,الحزمة الأولى,28.000%
SO.3.43,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,28.000%
SO.3.45,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,50.000%
SO.3.45,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,50.000%
SO.3.45,سلاح الاشارة,الحزمة الأولى,22.000%
SO.3.45,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,22.000%
SO.3.45,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,الحزمة الأولى,50.000%
SO.3.45,ادارة السياسات,الحزمة الأولى,40.000%
SO.3.46,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,52.000%
SO.3.46,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,52.000%
SO.3.46,قاعدة الامداد والتموين في الرياض,الحزمة الأولى,33.000%
SO.3.46,الموارد البشرية,الحزمة الأولى,33.000%
SO.3.46,الإدارة المالية,الحزمة الأولى,33.000%
SO.3.46,الإدارة العامة لشؤون الضباط,الحزمة الأولى,33.000%
SO.3.46,هيئة شؤون الافراد,الحزمة الأولى,33.000%
SO.3.46,كلية الملك عبدالله للقيادة والاركان,الحزمة الأولى,33.000%
SO.3.46,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,الحزمة الأولى,52.000%
SO.3.46,الادارة العامة للحوكمة والمخاطر والإلتزام,الحزمة الأولى,33.000%
SO.3.46,سلاح الاشارة,الحزمة الأولى,33.000%
SO.3.46,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,33.000%
SO.3.47,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الثانية,36.000%
SO.3.47,تقنية المعلومات في القطاع الصحي,الحزمة الثانية,36.000%
SO.3.47,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الثانية,11.000%
SO.3.47.1,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,46.000%
SO.3.47.1,هيئة التعليم والتدريب,الحزمة الأولى,42.000%
SO.3.47.1,كلية الملك عبدالله للقيادة والاركان,الحزمة الأولى,42.000%
SO.3.47.1,مدرسة سلاح الاشارة,الحزمة الأولى,42.000%
SO.3.47.1,مدارس الحرس الوطني العسكرية,الحزمة الأولى,42.000%
SO.3.47.1,مدرسة الطب الميداني,الحزمة الأولى,42.000%
SO.3.47.1,كلية الملك خالد العسكرية,الحزمة الأولى,42.000%
SO.3.47.1,قيادة التدريب والعقيدة,الحزمة الأولى,42.000%
SO.3.48,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,44.000%
SO.3.48,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,الحزمة الأولى,44.000%
SO.3.48,ادارة البيانات,الحزمة الأولى,34.000%
SO.3.48,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,44.000%
SO.3.48,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,31.000%
SO.3.48,سلاح الاشارة,الحزمة الأولى,31.000%
SO.3.48,ادارة الامن السيبراني,الحزمة الأولى,25.000%
SO.3.49,الابتكار الرقمي - الخدمات الرقمية والتقنية,الحزمة الأولى,34.000%
SO.3.49,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,24.000%
SO.3.49,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,24.000%
SO.3.49,سلاح الاشارة,الحزمة الأولى,24.000%
SO.3.49,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,24.000%
SO.3.50,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الثانية,31.000%
SO.3.50,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الثانية,25.000%
SO.3.50,هيئة الاستخبارات,الحزمة الثانية,23.000%
SO.3.50,هيئة الامداد والتموين,الحزمة الثانية,23.000%
SO.3.50,قاعدة الامداد والتموين في الرياض,الحزمة الثانية,23.000%
SO.3.50,قاعدة الإمداد والتموين في القطاع الغربي,الحزمة الثانية,23.000%
SO.3.50,قاعدة الإمداد والتموين بالقطاع الشرقي,الحزمة الثانية,23.000%
SO.3.50,هيئة الاتصالات,الحزمة الثانية,28.000%
SO.3.51,الخدمات الرقمية والتقنية,الحزمة الأولى,72.000%
SO.3.51,وكالة الشؤون الفنية,الحزمة الأولى,8.000%
SO.3.51,خدمات الدعم المؤسسي,الحزمة الأولى,20.000%
SO.3.51,المشتريات العامة,الحزمة الأولى,8.000%
SO.3.51,الحوكمة والمخاطر والامتثال - الامن السيبراني ,الحزمة الأولى,14.000%
SO.3.52,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,60.000%
SO.3.52,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الأولى,60.000%
SO.3.52,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,الحزمة الأولى,60.000%
SO.3.52,كلية الملك عبدالله للقيادة والاركان,الحزمة الأولى,39.000%
SO.3.52,قاعدة الامداد والتموين في الرياض,الحزمة الأولى,39.000%
SO.3.52,الموارد البشرية,الحزمة الأولى,39.000%
SO.3.52,الإدارة المالية,الحزمة الأولى,39.000%
SO.3.52,الإدارة العامة لشؤون الضباط,الحزمة الأولى,39.000%
SO.3.52,هيئة شؤون الافراد,الحزمة الأولى,39.000%
SO.3.52,سلاح الاشارة,الحزمة الأولى,54.000%
SO.3.52,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,54.000%
SO.3.52,ادارة الامن السيبراني,الحزمة الأولى,44.000%
SO.3.52,ادارة البيانات,الحزمة الأولى,58.000%
SO.3.53,التطوير والعمليات - الخدمات الرقمية والتقنية,الحزمة الأولى,54.000%
SO.3.53,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,الحزمة الأولى,38.000%
SO.3.53,سلاح الاشارة,الحزمة الأولى,38.000%
SO.3.53,تقنية المعلومات في القطاع الصحي,الحزمة الأولى,38.000%
SO.3.53,ادارة الامن السيبراني,الحزمة الأولى,22.000%
SO.3.53,ادارة البيانات,الحزمة الأولى,16.000%
SO.3.54,البنية المؤسسية والمعايير - الخدمات الرقمية والتقنية,الحزمة الثانية,38.000%
SO.3.54,تقنية المعلومات في القطاع الصحي,الحزمة الثانية,33.000%
SO.3.54,هيئة الاتصالات,الحزمة الثانية,33.000%
SO.3.54,استراتيجية الاتصالات وتقنية المعلومات والمحفظة والأداء - الخدمات الرقمية والتقنية,الحزمة الثانية,14.000%
SO.3.54,ادارة الامن السيبراني,الحزمة الثانية,8.000%
SO.3.55,الحوكمة والمخاطر والامتثال - الامن السيبراني ,الحزمة الأولى,40.000%
SO.3.55,الادارة العامة للحوكمة والمخاطر والإلتزام,الحزمة الأولى,22.000%
SO.3.55,الامن السيبراني - سلاح الاشارة,الحزمة الأولى,40.000%
SO.3.55,الامن السيبراني - القطاع الصحي,الحزمة الأولى,40.000%
SO.3.55,الدفاع السيبراني والمراقبة والاستجابة,الحزمة الأولى,40.000%
