pr_id,sf_id,sf_name
MA-1,sf_001,تفعيل دور الجمع والتحليل الاستخباراتي بالوزارة
MA-2,sf_002,تدريب منسوبي الطب العسكري الميداني وفقاً للمناهج المحدثة والمعتمدة
MA-2,sf_003,تقديم خدمات الطب العسكري الميداني في المرافق الجديدة
MA-3,sf_004,التعميم والعمل باللائحة
MA-3,sf_005,تنفيذ دورة الإلحاق وفقاً للسياسة المعتمدة
MA-4,sf_006,تنفيذ تدريب مشترك مع شركاء منظومة الأمن والدفاع
MA-4,sf_007,الربط والتكامل لأنظمة الدفاع الجوي مع شركاء المنظومة
MA-4,sf_008,تفعيل خطة تبادل المعلومات الاستخباراتية
MA-5,sf_009,تنفيذ المرحلة الأولى من خطة خروج القوات من المهام المتفق عليها
MA-6,sf_010,قوات مخصصة لتنفيذ المهمة الرئيسية
MA-7,sf_011,اكتمال التسكين والهيكلة لتموضع القوات
MA-7,sf_012,تنفيذ التدريب لوحدات هنسة الميدان
MA-8,sf_013,الانتهاء من تفصيل المتطلبات العملياتية والفنية للنطاق المحدث
MA-8,sf_014,ارتباط وحدات المناورة بالقيادة بحسب الصلاحيات القيادية
MA-9,sf_015,اعتماد الموارد اللازمة لتفعيل استراتيجيتي تطوير الكليات
MA-10,sf_016,عقائد عسكرية محدثة
MA-10,sf_017,ارتباط كافة وحدات التدريب والعقيدة ضمن القيادة
MA-10,sf_018,زيادة عدد المقاعد التدريبية السنوية
MA-11,sf_019,تنفيذ التدريبات وفق الخطط المحدثة
MA-12,sf_020,تقديم خدمات الضباط والأفراد من قِبل جهة مركزية واحدة
MA-13,sf_021,إجراءات وسياسات سلامة موحدة
MA-13,sf_022,الارتباط المركزي لجهات الأمن والسلامة
MA-13,sf_023,بدء التحديث الدوري لصلاحية الطيران
MA-13,sf_024,الانتقال للنموذج التشغيلي المستهدف للشرطة العسكرية
MA-14,sf_025,انتقال كافة مسؤوليات الاتصالات للهيئة
MA-15,sf_026,اكتمال تدريب المرحلة الأولى للقوات المدموجة
MA-15,sf_027,اكتمال تدريب المرحلة الأولى لقوات الأفواج
MA-16,sf_028,فك ارتباطات الإدارات المنتقلة من هيئة العمليات
MA-16,sf_029,خطط عملياتية طويلة المدى لوزارة الحرس الوطني
MA-17,sf_030,ارتباط جميع جهات الإمداد والتموين بقيادة خدمات إسناد القتال
MA-17,sf_031,جرد وأتمتة وتصنيف المواد التموينية داخل النظام المحدث
MA-18,sf_032,تغيير الارتباطات وفق الأدوار والمسؤوليات
MA-18,sf_033,"أدوار ومسؤوليات، وإجراءات عمل معتمدة لقيادات الجهاز العسكري"
MA-19,sf_034,تفعيل لجان حوكمة المستوى العملياتي للجهاز العسكري
MA-19,sf_035,إجراءات مأتمتة لجمع الدروس المستفادة
MA-20,sf_036,إنتقال إدارة أداء عقود الجهاز العسكري من عدة جهات مستفيدة إلى جهة مركزية واحدة
E-1,sf_037,نسبة السياسات والاجراءات المعتمدة والمعممة
E-1,sf_038,عدد المنسوبين المدربين على آلية تطبيق إطار السياسات والإجراءات
E-2,sf_039,تبني التحول وتقليل مقاومة التغيير من قبل إدارات الوزارة
E-2,sf_040,تسهيل الحصول على الموافقات خلال مرحلة تحول الوزارة
E-3,sf_041,رفع معدل الأستفادة والإستخدام لأصول الوزارة
E-3,sf_042,تحفيز الموظفين وزيادة رضاهم من خلال تحسين بيئة العمل
E-4,sf_043,نسبة الانحراف من خطة وزارة الحرس الوطني للاستحواذ على القدرات العسكرية المطلوبة
E-4,sf_044,نسبة الموظفين الذين تم العمل على تدريبهم 
E-4,sf_045,ضمان الخروج بالمخرج الاول من سلسلة القيمة لوكالة المشتريات والتسليح
E-5,sf_046,مواءمة المشاريع مع التوجه الاستراتيجي للوزارة
E-5,sf_047,متابعة جميع مشاريع الوزارة وتحديث حالتها
E-5,sf_048,ضمان الخروج بالمخرج الاول من سلسلة القيمة لمكاتب إدارة المشاريع  المؤسسي
E-5,sf_049,عدد التقارير الدورية المعتمدة لكل مكتب فرعي
E-6,sf_050,نسبة صرف الميزانية من المخطط له مقابل الغير مخطط له
E-6,sf_051,نسبة صرف الميزانية على الأولويات الاستراتيجية
E-6,sf_052,نسبة الموظفين الذين تم العمل على تدريبهم 
E-6,sf_053,اعتماد خطة الميزانية ذات الثلاث سنوات وتعميمها
E-7,sf_054,تحسين الإستفادة من وقت قيادات الوزارة وتقليص الوقت المستغرق في اللجان
E-7,sf_055,عدد القرارات الاستراتيجية التي تم الموافقة عليها من خلال اللجان الاستراتيجية
E-8,sf_056,سرعة الوصول للبيانات
E-8,sf_057,نسبة الخدمات التي تم العمل على مركزيتها
E-8,sf_058,نسبة الموظفين الذين تم العمل على تدريبهم 
E-8,sf_059,عدد الموظفين الإداريين الذين تم إعادة الاستفادة منهم
E-8,sf_060,عدد الخدمات التي تم تغطيتها
E-9,sf_061,بيئة رقابية متكاملة ومستدامة
E-9,sf_062,زيادة الإنضباط والإمتثال للوائح والقوانين
E-9,sf_063,تقليل الإرتباطات الإدارية وتحسين نطاق السيطرة
E-9,sf_064,ضمان الخروج بالمخرج الاول من سلسلة القيمة لإدارة المخاطر والحوكمة والإلتزام
E-9,sf_065,ضمان الخروج بالمخرج الاول من سلسلة القيمة لإدارة المراجعة الداخلية
E-10,sf_066,رضى الموظفين عن مستوى الشفافية في الوزارة
E-10,sf_067,تصنيف وزارة الحرس الوطني في التميز المؤسسي
E-10,sf_068,الخروج بتقرير داخلي للوزارة في اتباع المعايير
E-11,sf_069,عدد القرارات المتخذة بناء على المعلومات الاستخباراتية التي تم جمعها من المنظومة
E-11,sf_070,عدد التقارير الاستخباراتية التي تم إصدارها
E-11,sf_071,نجاح أول تبادل معلوماتي بين شركاء منظومة الأمن والدفاع
E-11,sf_072,نسبة الموظفين الذين تم العمل على تدريبهم 
E-11,sf_073,ضمان الخروج بالمخرج الاول من سلسلة القيمة لإدارة التحليل الاستراتيجي
E-12,sf_074,تقليص الوقت اللازم لتنفيذ الإجراءات والعمليات
E-12,sf_075,عدد الخدمات المقدمة من منصات (ERP)
E-12,sf_076,توحيد منصات (ERP) على مستوى الوزارة
E-12,sf_077,نسبة الموظفين الذين تم تدريبهم على الأنظمة الجديدة
E-12,sf_078,اكتمال دمج مراكز البيانات
E-12,sf_079,رفع معامل استخدام لمراكز البيانات
E-13,sf_080,تقليص الوقت اللازم لتنفيذ الإجراءات والعمليات
E-13,sf_081,ترشيد أكثر من 75% من المنصات المتناثرة 
E-13,sf_082,عدد الإجراءات والعمليات التي تم اتمتتها من جميع إجراءات وعمليات الوزارة
E-13,sf_083,نسبة الموظفين الذين تم العمل على تدريبهم 
E-13,sf_084,عدد الموظفين الإداريين الذين تم إعادة الاستفادة منهم
E-14,sf_085,تحسين الأتمتة والتوحيد القياسي لزيادة الكفاءة
E-14,sf_086,نسبة المخرجات المنجزة لكل وظيفة مقارنة بالمخطط له
E-14,sf_087,"رفع نسبة ""قياس التحول الرقمي"" الى 90%"
E-14,sf_088,ضمان الخروج بالمخرج الاول من سلسلة القيمة لوكالة الخدمات الرقمية والتقنية
E-15,sf_089,بيانات مصنفة ومحكومة ومركزية قابلة للوصول من الجميع
E-16,sf_090,تحسين كفاءة الأنظمة وتقنية المعلومات العسكرية
E-16,sf_091,تكامل اتصالات وحدات وزارة الحرس الوطني بنسبة 100%
E-16,sf_092,اطلاق مركز القيادة والسيطرة بنسبة 100%
E-16,sf_093,عدد القرارات المتخذة بناء على أنظمة تقنية المعلومات العسكرية المتكاملة
E-16,sf_094,نسبة تفعيل المنصة الموحدة لأنظمة التقنية العسكرية 
E-17,sf_095,رفع نسبة نجاح الكشف والتصدي والتعامل مع الهجمات السيبرانية
E-17,sf_096,رفع نسبة الالتزام بتشريعات الهيئة الوطنية للأمن السيبراني
E-17,sf_097,رفع نسبة الالتزام بخطط المعالجة والتحسين للمخاطر
E-18,sf_098,نسبة تنفيذ استراتيجية الامن السيبراني حسب المخطط له
E-18,sf_099,نسبة الالتزام بتشريعات الهيئة الوطنية للأمن السيبراني
E-18,sf_100,نسبة الالتزام باتفاقيات مستوى الخدمة لإدارة الأمن السيبراني
E-18,sf_101,تفعيل 48 خدمة في نموذج تقديم خدمات الأمن السيبراني
E-19,sf_102,نسبة الالتزام بتشريعات الهيئة الوطنية للأمن السيبراني
E-19,sf_103,رفع نسبة الاستباق والتصدي والاستجابة للهجمات السيبرانية في الوزارة 
E-19,sf_104,تنفيذ خطط التعامل مع الهجمات السيبرانية
E-20,sf_105,تحسين قدرات الإعلام والتواصل
E-20,sf_106,نسبة الموظفين الذين تم تدريبهم وتطوير مهاراتهم
E-20,sf_107,توحيد التواصل والرسائل الداخلية والخارجية لوزارة الحرس الوطني
E-21,sf_108,رفع مستوى الرضى لدى الموضفين
E-21,sf_109,ضمان زيادة نسبة تمكين الكفاءات
E-21,sf_110,وضوح معايير وسياسات تقييم الأداء ورفع مستوى الشفافية
E-21,sf_111,بدء التوظيف بناء على خطة القوى العاملة المعتمدة
E-21,sf_112,تطبيق أول دورة لإطار إدراة المواهب
E-22,sf_113,نسبة اشغال الوظائف حسب المهارات والمؤهلات والخبرات ذات الصلة للأدوار المستقبلية
E-22,sf_114,نسبة الموظفين المستوفين للجدارات المحددة مسبقا
E-22,sf_115,تدريب وتطوير المهارات الفنية والقيادية لعدد (X) من الموظفين
E-23,sf_116,تقليل مقاومة التغيير وإشراك منسوبي الوزارة في رحلة التحول
E-23,sf_117,سرعة الإستجابة والتفاعل خلال مرحلة تفعيل التحول
E-23,sf_118,نسبة المشاركين في مراحل التحول
E-25,sf_119,نسبة الإقبال على البرامج المقدمة لمنسوبي الوزارة
E-25,sf_120,تقليل وقت الانتظار للحصول على مسكن 
E-25,sf_121,نسبة توفير المساكن مقارنة مع الطلب
E-25,sf_122,زيادة المشاركات  الفردية والجماعية في البرامج
E-25,sf_123,تفعيل خطط البرامج الثقافية والرياضية
HA-1,sf_124,إطلاق آلية حصر وتحديث مجتمع المستفيدين بناءً على معايير الأهلية المحددة
HA-1,sf_125,تفعيل حوكمة وآليات وقياس أداء برنامج صحة المجتمع
HA-1,sf_126,اكتمال تجهيز مراكز الرعاية الصحية الأولية في مناطق المملكة
HA-2,sf_127,تفعيل خدمات الرعاية الصحية للمستفيدين والعسكريين التي يجب تقديمها للمستفيدين في مراكز الرعاية الصحية الأولية
HA-2,sf_128,تفعيل خطة برامج الرعاية الوقائية في مراكز الرعاية الصحة الأولية لجميع المستفيدين
HA-3,sf_129,"تأمين التغطية الطبية (رعاية أولية، وثانوية، وتخصصية، والتأهيل) لجميع منسوبي وزارة الحرس الوطني"
HA-3,sf_130,نجاح تشغيل جميع العيادات المستهدف تشغيلها كعيادات افتراضية
HA-4,sf_131, إطلاق أول تقرير أداء لقياس تجربة المريض (Press Ganey)
HA-4,sf_132, تفعيل ممارسات الرعاية الصحية المتكاملة (فرق ممارسة متكاملة لكل الأمراض الأكثر شيوعاً ومراكز التميز المتخصصة)
HA-4,sf_133,إطلاق أول مركز  التميز في الشؤون الصحية
HA-5,sf_134,تفعيل دورة الإيرادات والفوترة لتغطي جميع الخدمات المقدمة للمستفيدين بالشؤون الصحية
HA-5,sf_135,تفعيل آلية صرف الأدوية بناء على افضل الممارسات الجودة والكفاءة
HA-5,sf_136,تفعيل إطار التخطيط المالي متوسط المدى للشؤون الصحية
HA-5,sf_137,إعتماد استراتيجية الأستدامة الذاتية
HA-5,sf_138,توقيع اول عقد اسناد خدمة إلى القطاع الخاص او الغير ربحي
HA-6,sf_139, اكتمال تفعيل الحوكمة والنموذج التشغيلي المستهدف لشؤون الصحية والجامعة ومركز الأبحاث
HA-7,sf_140,إعتماد استراتيجية التعليم والأبحاث
HA-7,sf_141,إطلاق برنامج الأبحاث في مجال الطب العسكري الميداني
HA-8,sf_142,اكتمال تفعيل النموذج التشغيلي للموارد البشرية مع الآنظمة والسياسات والإجراءات
HA-8,sf_143,اكتمال تفعيل إطار وآلية التخطيط الوظيفي والمهني في الشؤون الصحية.
HA-8,sf_144,إطلاق تسكين موظفي الشؤون الصحية على سلم الرواتب والمزايا الجديد
HA-9,sf_145,تفعيل خطط التعاقب والمسارات الوظيفية على جميع المستويات في الشؤون الصحية
HA-9,sf_146,اكتمال الدورة الأولى لتدريب الموظفين المستهدف تدريبهم حسب خطط التعاقب الوظيفي
HA-10,sf_147,اطلاق تنفيذ خطة تحسين الثقافة المؤسسية 
HA-10,sf_148,اعتماد سياسات العمل المرن ومراجعة أوقات العمل
HA-10,sf_149,تفعيل برنامج تقدير الموظف
HA-10,sf_150,تفعيل اول برنامج من برامج تحسين صحة الموظفين
HA-10,sf_151, تفعيل برنامج تعزيز الولاء وتحسين الصورة الذهنية للشؤون الصحية
HA-11,sf_152,تفعيل برنامج الجاهزية ضد الكوارث في جميع المناطق حسب أفضل الممارسات العالمية
